symbol,set,direction,entry_time,entry_price,fill_entry,size,entry_fee,initial_sl,tp1,tp2,tp3,initial_rr,exit_price,exit_time,pnl,reason
BTC/USDT,Set 4,LONG,1765326600000,92530.55,92562.9356925,0.0020649901340161303,0.14335616173543653,92154.72253654874,93045.89,91374.0,89799.96,7.265541413404699,89768.530014,1765327500000,-5.90944850315918,TP3
BTC/USDT,Set 4,LONG,1768365900000,95289.52,95322.87133200001,0.000891620867872376,0.06374389594884351,94485.3827877357,91441.34,92519.95,90406.08,6.07289393591064,90374.43787200001,1768366800000,-4.472561337260588,TP3
BTC/USDT,Set 4,LONG,1773208800000,69510.36,69534.688626,0.0018217272514046022,0.09500492789093838,69141.33664307506,70417.3,70281.87,73558.15,10.968926286211545,69117.13717524998,1773231300000,-0.855099285943254,SL
BTC/USDT,Set 4,LONG,1776337200000,74313.0,74339.00955,0.026336096177179767,1.4683494789188138,74287.79850816194,74874.93,74786.72,73790.0,20.752739693376732,73764.1735,1776338100000,-16.5959327747047,TP3
BTC/USDT,Set 4,LONG,1784247300000,63790.57,63812.8966995,0.008886595301640482,0.4253095409953846,63734.55871916485,64330.0,65600.0,64243.75,8.090870146922693,63712.25162361315,1784249100000,-1.319030805460854,SL
BTC/USDT,Set 4,SHORT,1504783800000,4625.35,4623.7311275,0.33915563707218227,1.1761233571483067,4654.834988326677,4557.89,3603.0,4335.26,9.83856587582694,4448.608245899482,1504789200000,58.262334552347994,SL
BTC/USDT,Set 4,SHORT,1514566800000,14596.0,14590.8914,0.03962377009770546,0.43360959476564076,14863.077648578834,14204.99,13190.0,11640.0,11.06794228468532,12507.977141277335,1514736900000,82.16120581288446,SL
BTC/USDT,Set 4,SHORT,1516219200000,10390.0,10386.363500000001,0.02138908700189862,0.16661612440113324,10923.180093317682,10593.0,14172.95,13923.18,6.626616492778256,13928.053113000002,1516220100000,-75.97693852102843,TP3
BTC/USDT,Set 4,SHORT,1528860600000,6539.12,6536.831308,0.09280813999109166,0.45500336634826116,6653.813237246903,6522.0,6657.75,8163.9,14.166310403309122,8166.757365,1528861500000,-151.83886184378727,TP3
BTC/USDT,Set 4,SHORT,1535058900000,6470.12,6467.855458,1.0619520478717193,5.151414261721033,6478.7136812479375,6325.0,6360.0,6228.0,28.17418903663727,6480.981231036375,1535059800000,-19.10081002376576,SL
BTC/USDT,Set 4,SHORT,1538361900000,6649.02,6646.692843000001,0.24936884026318887,1.243108564383411,6684.850736872884,6610.31,6542.48,6434.0,6.000992967652993,6436.2519,1538537400000,51.2736633958434,TP3
BTC/USDT,Set 4,SHORT,1544503500000,3432.17,3430.9687405000004,0.24166470975796303,0.6218580486461824,3471.2646859522324,3402.0,3781.0,3689.12,6.57250451669961,3690.411192,1544504400000,-63.36696635284347,TP3
BTC/USDT,Set 4,SHORT,1548324000000,3547.88,3546.6382420000004,0.5442574211402827,1.4477131374813197,3564.0747929928634,3541.46,3434.85,3441.3,6.581127653003492,3565.3222191704112,1548329400000,-11.624233038816579,SL
BTC/USDT,Set 4,SHORT,1564139700000,9783.29,9779.865848500001,0.16841101893963256,1.2352778794790995,9834.936822129413,9657.0,9720.03,10121.84,6.555098378593108,10125.382644000001,1564140600000,-59.46775509708389,TP3
BTC/USDT,Set 4,SHORT,1566678600000,10145.5,10141.949075,5.206906162996495,39.606132857560574,10147.056243983505,9948.08,9880.01,10258.6,72.67497975817844,10262.19051,1566679500000,-666.1615662083143,TP3
BTC/USDT,Set 4,SHORT,1569698100000,8129.09,8126.2448185,0.014554487468344934,0.0887049962816709,8228.138539489264,8001.09,7977.0,9653.0,15.385486831587047,9656.378550000001,1569699000000,-22.375719950455313,TP3
BTC/USDT,Set 4,SHORT,1582905600000,8715.94,8712.889421000002,0.009808700011579805,0.06409658892349221,8840.099524280697,8842.28,8730.0,9576.01,6.92713672175144,9579.361603500001,1582906500000,-8.569436519724709,TP3
BTC/USDT,Set 4,SHORT,1590249600000,9198.78,9195.560427,0.010044013745224688,0.06927025149287415,9311.498798557084,9138.0,9079.78,8200.0,8.86081126471725,9299.891273060042,1590301800000,-1.117956628709765,SL
BTC/USDT,Set 4,SHORT,1592794800000,9386.63,9383.3446795,0.2434630252219122,1.7133731117782531,9391.234270380455,9365.02,9232.33,8910.45,103.42138072978204,9394.521202375088,1592795700000,-4.43648398496212,SL
BTC/USDT,Set 4,SHORT,1599861600000,10343.26,10339.639859,0.027230630642095754,0.21116618547954003,10382.79653406218,10238.09,9875.5,10070.83,6.890588830360003,10386.430512849101,1599862500000,-1.4862608022059056,SL
BTC/USDT,Set 4,SHORT,1610898300000,35934.19,35921.613033500005,0.0018266409480922313,0.049211916966386035,36515.4438851725,35520.0,35520.0,32380.0,6.114694612226528,34919.940637104155,1610918100000,1.7818561707258198,SL
BTC/USDT,Set 4,SHORT,1615059900000,48466.84,48449.876606,0.0027891679365979337,0.10135113177118614,48853.89475401306,48248.27,46885.0,43000.0,14.124203212384439,47564.53528048215,1615070700000,2.3698665305368625,SL
BTC/USDT,Set 4,SHORT,1625620500000,34250.02,34238.032493,0.003600011694660489,0.09244298803272437,34556.47994193373,34027.69,33634.76,32286.57,6.406873236387183,33672.16679861268,1625632200000,1.9462079717068612,SL
BTC/USDT,Set 4,SHORT,1636243200000,61470.61,61449.0952865,0.01728437086779913,0.7965817143169452,61535.56587621966,60972.78,60050.0,59510.63,30.174021413735424,60840.32424332368,1636246800000,9.733534437882387,SL
BTC/USDT,Set 4,SHORT,1642319100000,43227.97,43212.840210500006,0.004197647922011079,0.13604421668535163,43518.62248483674,42925.88,42777.0,41268.93,6.740145370167373,43445.732015155896,1642350600000,-1.1143752149024595,SL
BTC/USDT,Set 4,SHORT,1653163200000,29464.31,29453.997491500002,0.008845439177832108,0.1954001575163121,29600.98077717102,29140.0,29168.68,38200.0,63.91776048122539,38213.37,1653164100000,-77.73400728999766,TP3
BTC/USDT,Set 4,SHORT,1665914400000,19140.89,19134.1906885,0.00893598347180454,0.12823710880409425,19189.186080147756,19133.24,19115.0,18190.0,19.688761429309693,19056.80136600081,1665949500000,0.5638312602228609,SL
BTC/USDT,Set 4,SHORT,1672419600000,16545.86,16540.068949,0.02190314433333563,0.27170963810495247,16565.82111973248,16515.45,16517.54,16256.3,14.506200247314935,16571.61915712439,1672426800000,-0.963276686971974,SL
BTC/USDT,Set 4,SHORT,1711202400000,64596.06,64573.451379,0.0037104474574797728,0.1796972988674282,64711.29637636314,65360.0,63000.0,62022.0,22.33721747626267,63756.2611694207,1711204200000,2.8547181425449972,SL
BTC/USDT,Set 4,SHORT,1714075200000,64747.11,64724.448511500006,0.004777054576990544,0.23189416725378745,64842.592622976146,63825.72,62794.0,62953.9,18.78048532923101,64865.28753039419,1714076100000,-0.9051944438409814,SL
BTC/USDT,Set 4,SHORT,1728216000000,62101.92,62080.184328,0.014683551343903728,0.6836681805143967,62132.36724986496,61980.33,60459.9,61700.0,13.200535410671234,62154.113578402415,1728216900000,-1.7700262825726103,SL
BTC/USDT,Set 4,SHORT,1735580700000,93964.0,93931.11260000001,0.0024005932661588254,0.16911779729277482,94142.86140892754,93686.68,94375.8,92520.0,8.073289865367336,94175.81141042066,1735581600000,-0.7569806805630712,SL
BTC/USDT,Set 4,SHORT,1739484900000,96421.08,96387.332622,0.0007994915048949549,0.05779564020808003,96948.66995493881,95561.46,94088.23,101400.01,9.43712053914565,101435.5000035,1739485800000,-4.096789552207733,TP3
BTC/USDT,Set 4,SHORT,1742291100000,83132.96,83103.86346400001,0.0008223432039878256,0.05125492300856442,83596.07052328592,83048.71,82456.0,79939.9,6.8948120145149545,83042.50533814315,1742344200000,-0.0007596421223906719,SL
BTC/USDT,Set 4,SHORT,1750630500000,100334.81,100299.6928165,0.001590596417347334,0.11965224904122229,100574.23477862065,102584.36,104238.02,104494.53,17.373807439499323,104531.10308550001,1750631400000,-6.8551661127500125,TP3
BTC/USDT,Set 4,SHORT,1756580400000,108739.72,108701.66109800001,0.0014696528813214278,0.11981528207782582,108952.20319105795,107769.48,108190.52,111684.79,13.86024929942227,111723.8796765,1756581300000,-4.564758733134892,TP3
BTC/USDT,Set 4,SHORT,1763175600000,96482.77,96449.0010305,0.0003553375588171186,0.025703964432395723,97233.12396631564,98021.0,103051.59,101400.0,6.553213844053348,101435.49,1763176500000,-1.7989196970361339,TP3
BTC/USDT,Set 4,SHORT,1769919300000,78964.13,78936.4925545,0.0001836765192862316,0.010874085147805574,80317.81282584621,78644.09,81871.37,87304.33,6.161118277308741,87334.88651550001,1769920200000,-1.5546187963265579,TP3
BTC/USDT,Set 4,SHORT,1780269300000,73936.0,73910.12240000001,0.005895437542128041,0.32679938275517906,73975.53795796157,73626.67,73373.37,76108.0,54.93455180743475,76134.63780000001,1780270200000,-13.45112685365883,TP3
BTC/USDT,Set 4,SHORT,1782536400000,60239.99,60218.9060035,0.00048396754652456564,0.021857997144680497,60443.68608226225,59970.0,59556.0,63270.0,14.875151089548204,63292.1445,1782537300000,-1.5103212029519082,TP3
BTC/USDT,Set 5,LONG,1773779100000,74625.1,74651.218785,0.023732289789771585,1.3287332680239454,74203.73315809038,74774.16,76000.0,71491.03,7.43786574614296,71466.0081395,1773779400000,-76.86438109193507,TP3
BTC/USDT,Set 5,LONG,1775648700000,71521.02,71546.05235700001,0.10109118173938415,5.424506236167737,71429.70287391398,71582.42,71790.0,69974.08,16.94030535458054,69949.589072,1775649000000,-166.69182505029437,TP3
BTC/USDT,Set 5,LONG,1775861400000,72837.28,72862.773048,0.0696877588745203,3.808232519323441,72728.73241487535,73244.03,73145.0,71748.0,10.035045908660093,71722.8882,1775861700000,-83.18467593614267,TP3
